case_id,query,short_name,issue_code,issue_label,attempts_with_issue,attempt_pct,example_models
pass4.query5,Q5,Gene-preserving profile,q5_wrong_expression,Mapped or averaged matched expression incorrectly.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query6,Q6,Sample burden table,q6_wrong_log2_expr,Miscomputed mean_log2_marker_expr.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query6,Q6,Sample burden table,q6_wrong_burden,Miscomputed burden_genes.,36,0.9230769230769231,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass4.query6,Q6,Sample burden table,q6_missing_sample,"Dropped one or more sample_dim rows, usually S5.",21,0.5384615384615384,"CodeLlama 70B, Command R+, DBRX, Llama 3 70B"
pass4.query7,Q7,Orphan-key report,q7_wrong_orphan_row_set,Returned the wrong orphan-key row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query7,Q7,Orphan-key report,q7_wrong_source_table,Used imprecise source_table labels such as fact_calls instead of fact_calls.sample_id or fact_calls.variant_id.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query7,Q7,Orphan-key report,q7_wrong_orphan_type,Returned incorrect orphan_type labels.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query8,Q8,Final presentation table,q8_wrong_row_set,Returned the wrong non-reference complete-chain call set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query8,Q8,Final presentation table,q8_leaked_reference_or_incomplete,"Leaked reference, incomplete-chain, or orphan fact rows.",39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query8,Q8,Final presentation table,q8_wrong_expression_or_log,Mapped matched_expr_count or log2_matched_expr incorrectly.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query9,Q9,Pathway reliability summary,q9_wrong_vaf,Miscomputed mean_vaf.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query9,Q9,Pathway reliability summary,q9_wrong_expression,Miscomputed mean_matched_expr.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query9,Q9,Pathway reliability summary,q9_wrong_counts_or_rate,Miscomputed call_count or non_reference_rate.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query10,Q10,Repairability audit,q10_call6_status_wrong,Misclassified call_id 6 / V5; it should be MISSING_GENE and repairable.,31,0.7948717948717948,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass4.query10,Q10,Repairability audit,q10_repairable_flags_wrong,Set repairable_by_human incorrectly for complete-chain or missing rows.,19,0.48717948717948717,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass4.query10,Q10,Repairability audit,q10_call8_status_wrong,Misclassified call_id 8 / S999; it should be MISSING_SAMPLE and repairable.,5,0.1282051282051282,"DBRX, Gemma 4 26B, Phi-4 Mini"
