case_id,issue_code,issue_label,runs,attempts_with_issue,v2_attempts_with_issue,v3_attempts_with_issue,v4_attempts_with_issue,source_category
pass3.query1,q1_call9_status_wrong,Misclassified call_id 9 / V999; it should be MISSING_VARIANT,"v2,v3,v4",12,6,3,3,classification
pass3.query1,q1_call8_status_wrong,Misclassified call_id 8 / S999; it should be MISSING_SAMPLE,v4,3,0,0,3,classification
pass3.query1,q1_call6_status_wrong,Misclassified call_id 6 / V5; it should be MISSING_GENE,"v2,v3",12,9,3,0,classification
pass3.query2,q2_wrong_counts_or_alt,Miscomputed call_count or sum_alt_reads,"v2,v3,v4",75,18,15,42,numeric
pass3.query2,q2_wrong_vaf,Computed avg_vaf from the wrong numerator/denominator or row set,"v3,v4",57,0,15,42,numeric
pass3.query2,q2_wrong_max_qual,Computed max_qual from the wrong rows,v4,33,0,0,33,numeric
pass3.query2,q2_wrong_group_set,Returned the wrong tissue-gene group set for complete-chain matched rows,"v2,v3",33,18,15,0,grouping
pass3.query2,q2_leaked_incomplete_or_root,Leaked incomplete-chain or non-gold tissue/gene groups such as root/NDHT,v2,18,18,0,0,grouping
pass3.query3,q3_wrong_total_alt,Miscomputed total_alt_reads for one or more genes,"v2,v3,v4",75,18,15,42,numeric
pass3.query3,q3_wrong_observed_count,Miscomputed observed_call_count for one or more genes,"v2,v3,v4",75,18,18,39,numeric
pass3.query3,q3_leaked_unknown_gene,Included a non-gold gene such as G999,v2,2,2,0,0,over_inclusion
pass3.query4,q4_control_bucket_wrong,Miscomputed the control high-impact bucket,"v2,v3,v4",69,15,18,36,grouping
pass3.query4,q4_high_light_bucket_wrong,Miscomputed the high_light high-impact bucket,"v2,v4",36,12,0,24,grouping
pass3.query4,q4_wrong_group_set,Returned the wrong set of high-impact condition rows,"v2,v3,v4",29,15,13,1,grouping
pass3.query4,q4_included_non_high_condition,"Included a condition that has no high-impact joined calls, usually drought",v3,13,0,13,0,attribute_mapping
pass3.query5,q5_counted_reference_or_wrong_class,Counted reference calls or put genotypes into the wrong class,"v2,v3,v4",61,12,12,37,numeric
pass3.query5,q5_s2_nonref_wrong,Miscomputed S2 heterozygous calls or non-reference mean quality,"v2,v3,v4",60,12,12,36,numeric
pass3.query5,q5_included_s999,Included S999 even though sample_dim is the preserving table,"v2,v3",6,3,3,0,over_inclusion
pass3.query6,q6_wrong_totals_or_vaf,Miscomputed total_alt_reads or avg_vaf,"v2,v3,v4",69,15,15,39,numeric
pass3.query6,q6_wrong_group_set,Returned the wrong tissue-gene group set before ranking,"v2,v3,v4",60,17,15,28,grouping
pass3.query6,q6_leaked_root_or_incomplete,"Leaked root, incomplete-chain, or non-gold genes into the ranking","v2,v3,v4",54,17,9,28,grouping
pass3.query7,q7_missing_expected_object,"Dropped or mislabeled one of G4, G5, S5, or V6 in the anti-join audit","v2,v3,v4",33,15,15,3,classification
pass3.query7,q7_extra_object,Included a non-gold unused object such as G999,"v3,v4",14,0,11,3,over_inclusion
pass3.query7,q7_object_type_labels_wrong,Used dimension-table labels such as gene_dim/sample_dim instead of gene/sample/variant,"v2,v3",30,15,15,0,classification
pass3.query7,q7_g4_reason_wrong,Assigned the wrong reason to G4; it should be no_fact_calls_through_variants,v2,12,12,0,0,classification
pass3.query8,q8_wrong_vaf,Computed mean_vaf from the wrong row set,"v2,v3,v4",70,15,18,37,numeric
pass3.query8,q8_leaked_reference_or_incomplete,"Leaked reference calls, incomplete chains, or non-gold roles into the non-reference summary","v2,v3,v4",63,18,15,30,attribute_mapping
pass3.query8,q8_wrong_group_set,Returned the wrong condition-gene_role groups,"v2,v3,v4",63,18,15,30,grouping
pass3.query9,q9_wrong_complete_counts,Miscomputed complete_chain_calls by condition group,"v2,v3,v4",78,18,18,42,numeric
pass3.query9,q9_wrong_missing_status_counts,"Miscomputed missing_sample, missing_variant, or missing_gene counts","v2,v3,v4",72,15,18,39,numeric
pass3.query9,q9_missing_condition_group,"Dropped one of UNMATCHED_SAMPLE, control, drought, or high_light","v3,v4",5,0,3,2,grouping
pass3.query10,q10_wrong_decision_score,Computed decision_score incorrectly from avg_vaf and matched expression,"v2,v3,v4",78,18,18,42,numeric
pass3.query10,q10_wrong_vaf,Computed avg_vaf from the wrong non-reference row set,"v2,v3,v4",78,18,18,42,numeric
pass3.query10,q10_wrong_expression,Mapped matched expression counts incorrectly,"v2,v3,v4",70,18,10,42,numeric
pass4.query1,q1_missing_status_wrong,Miscounted one or more missing sample/variant/gene fact-row categories,"v2,v3,v4",44,6,4,34,numeric
pass4.query1,q1_unused_dimension_wrong,"Miscounted unused samples, unused variants, or genes with no variants","v2,v3,v4",60,18,12,30,numeric
pass4.query1,q1_complete_chain_wrong,Miscounted complete_chain_rows in the reconciliation summary,"v2,v3,v4",47,12,7,28,numeric
pass4.query2,q2_wrong_counts_or_alt,Miscomputed call_count or total_alt_reads,"v2,v3,v4",78,18,18,42,numeric
pass4.query2,q2_wrong_quality,Miscomputed mean_qual,"v2,v3,v4",78,18,18,42,numeric
pass4.query2,q2_wrong_expression,Mapped or averaged expr_ndhb incorrectly,"v2,v3,v4",73,15,18,40,attribute_mapping
pass4.query3,q3_wrong_expr,Mapped or averaged expr_pgr5 incorrectly,"v2,v3,v4",71,18,15,38,attribute_mapping
pass4.query3,q3_wrong_counts_or_quality,Miscomputed non_reference_calls or avg_qual,"v3,v4",53,0,15,38,numeric
pass4.query3,q3_wrong_vaf,Miscomputed max_vaf,v4,25,0,0,25,numeric
pass4.query3,q3_wrong_group_set,Returned the wrong batch-gene_role group set,"v2,v3",28,18,10,0,grouping
pass4.query3,q3_leaked_extra_group,"Leaked reference, incomplete-chain, or non-gold batch/role groups",v2,18,18,0,0,grouping
pass4.query4,q4_wrong_total_alt,Miscomputed total_alt_reads,"v2,v4",46,12,0,34,numeric
pass4.query4,q4_wrong_counts,Miscomputed control_calls or non_control_calls,"v3,v4",44,0,10,34,numeric
pass4.query4,q4_wrong_gene_set,Returned the wrong shared gene set,"v2,v3,v4",45,18,18,9,grouping
pass4.query4,q4_leaked_non_shared_gene,Included genes that are not observed in both control and non-control complete-chain rows,"v2,v3",36,18,18,0,over_inclusion
pass4.query5,q5_wrong_expression,Mapped or averaged matched expression incorrectly,"v2,v3,v4",78,18,18,42,attribute_mapping
pass4.query5,q5_wrong_sample_or_tissue_count,Miscomputed distinct matched sample or tissue counts,"v2,v3,v4",78,18,18,42,numeric
pass4.query5,q5_wrong_variant_or_call_count,Miscomputed variant_count or call_count,"v2,v3,v4",74,18,15,41,numeric
pass4.query6,q6_wrong_burden,Miscomputed burden_genes,"v2,v3,v4",78,18,18,42,numeric
pass4.query6,q6_wrong_log2_expr,Miscomputed mean_log2_marker_expr,"v2,v3,v4",78,18,18,42,numeric
pass4.query6,q6_missing_sample,"Dropped one or more sample_dim rows, usually S5","v2,v3",3,1,2,0,under_inclusion
pass4.query7,q7_wrong_orphan_row_set,Returned the wrong orphan-key row set,"v2,v3,v4",78,18,18,42,null_key_type
pass4.query7,q7_wrong_orphan_type,Returned incorrect orphan_type labels,"v2,v3,v4",78,18,18,42,classification
pass4.query7,q7_extra_or_duplicate_rows,Included extra or duplicate orphan rows,v4,5,0,0,5,over_inclusion
pass4.query7,q7_wrong_source_table,Used imprecise source_table labels such as fact_calls instead of fact_calls.sample_id or fact_calls.variant_id,"v2,v3",36,18,18,0,classification
pass4.query8,q8_wrong_expression_or_log,Mapped matched_expr_count or log2_matched_expr incorrectly,"v2,v3,v4",72,16,14,42,numeric
pass4.query8,q8_wrong_row_set,Returned the wrong non-reference complete-chain call set,"v2,v3,v4",57,18,15,24,over_inclusion
pass4.query8,q8_leaked_reference_or_incomplete,"Leaked reference, incomplete-chain, or orphan fact rows","v2,v3,v4",56,18,14,24,over_inclusion
pass4.query9,q9_wrong_expression,Miscomputed mean_matched_expr,"v2,v3,v4",78,18,18,42,numeric
pass4.query9,q9_wrong_vaf,Miscomputed mean_vaf,"v2,v3,v4",78,18,18,42,numeric
pass4.query9,q9_wrong_counts_or_rate,Miscomputed call_count or non_reference_rate,"v2,v3,v4",75,18,18,39,numeric
pass4.query10,q10_repairable_flags_wrong,Set repairable_by_human incorrectly for complete-chain or missing rows,"v2,v3,v4",21,3,6,12,classification
pass4.query10,q10_call6_status_wrong,Misclassified call_id 6 / V5; it should be MISSING_GENE and repairable,"v2,v3,v4",24,15,6,3,classification
pass4.query10,q10_call9_repairability_wrong,Misclassified call_id 9 / V999 repairability; MISSING_VARIANT is not human-repairable,v4,3,0,0,3,classification
pass4.query10,q10_call8_status_wrong,Misclassified call_id 8 / S999; it should be MISSING_SAMPLE and repairable,"v2,v3",6,3,3,0,classification
pass5.query1,q1_wrong_log2_transform,Miscomputed one or more log2(expr + 1) marker features,"v2,v3,v4",78,18,18,42,generic
pass5.query1,q1_wrong_ratio,Miscomputed ndh_module_ratio,"v2,v3,v4",78,18,18,42,generic
pass5.query1,q1_wrong_tissue,Mismapped sample tissue labels,v4,3,0,0,3,classification
pass5.query2,q2_wrong_expr_mapping,Mapped matched_expr_count or log2_matched_expr incorrectly,"v2,v3,v4",78,18,18,42,numeric
pass5.query2,q2_wrong_weighted_vaf,Miscomputed expr_weighted_vaf,"v2,v3,v4",78,18,18,42,numeric
pass5.query2,q2_wrong_call_set,Returned the wrong complete-chain matched call set,"v2,v3,v4",60,18,18,24,generic
pass5.query2,q2_leaked_incomplete_or_orphan,"Leaked incomplete-chain, orphan, or non-gold calls into the weighted VAF table","v2,v3,v4",53,18,12,23,numeric
pass5.query2,q2_wrong_vaf,Miscomputed VAF,"v2,v3,v4",15,3,3,9,numeric
pass5.query3,q3_wrong_mean_or_median,Miscomputed mean or median matched expression,"v2,v3,v4",78,18,18,42,numeric
pass5.query3,q3_wrong_pop_std,Miscomputed population standard deviation,"v2,v3,v4",74,16,16,42,generic
pass5.query3,q3_wrong_count,Miscomputed n_calls,"v2,v3,v4",72,15,16,41,numeric
pass5.query3,q3_leaked_incomplete_or_orphan,"Leaked incomplete-chain, orphan, or non-gold groups into condition-gene statistics","v2,v3,v4",66,18,15,33,grouping
pass5.query3,q3_wrong_group_set,Returned the wrong condition-gene group set,"v2,v3,v4",66,18,15,33,grouping
pass5.query3,q3_wrong_sort,Returned condition-gene statistics in the wrong order,"v3,v4",6,0,3,3,sort
pass5.query4,q4_wrong_delta,Miscomputed stress-minus-control delta,"v2,v3,v4",78,18,18,42,generic
pass5.query4,q4_wrong_stress_or_control_mean,Miscomputed stress/control mean log2 expression,"v2,v3,v4",78,18,18,42,numeric
pass5.query5,q5_wrong_burden,Miscomputed burden_score,"v2,v3,v4",70,18,16,36,numeric
pass5.query5,q5_wrong_log2_expr,Miscomputed mean_log2_matched_expr,"v2,v3,v4",70,18,16,36,numeric
pass5.query5,q5_wrong_vaf,Miscomputed mean_vaf,"v2,v3,v4",67,18,15,34,numeric
pass5.query5,q5_wrong_count,Miscomputed non_reference_calls,"v2,v3,v4",52,9,12,31,numeric
pass5.query5,q5_leaked_ref_or_incomplete,"Leaked reference, incomplete-chain, or orphan rows into pathway burden","v2,v3,v4",42,15,15,12,numeric
pass5.query5,q5_wrong_group_set,Returned the wrong pathway-tissue group set,"v2,v3,v4",42,15,15,12,grouping
pass5.query6,q6_wrong_z_mean,Miscomputed photosynthesis_expr_z_mean,"v2,v3,v4",78,18,18,42,numeric
pass5.query6,q6_wrong_zscore,"Miscomputed marker z-scores, usually from ddof or denominator errors","v2,v3,v4",78,18,18,42,numeric
pass5.query6,q6_wrong_sort,Returned z-score rows in the wrong order,"v2,v3,v4",22,4,3,15,sort
pass5.query6,q6_wrong_sample_set,Returned the wrong sample set for z-score ranking,"v2,v3,v4",9,5,3,1,numeric
pass5.query7,q7_wrong_cv,Miscomputed cv_matched_expr,"v2,v3,v4",74,17,15,42,generic
pass5.query7,q7_wrong_mean_expr,Miscomputed mean_matched_expr,"v2,v3,v4",74,17,15,42,numeric
pass5.query7,q7_wrong_vaf,Miscomputed mean_vaf,"v2,v3,v4",74,17,15,42,numeric
pass5.query7,q7_wrong_gene_count,Miscomputed distinct_genes_observed,"v2,v3,v4",65,17,15,33,numeric
pass5.query7,q7_wrong_condition_set,Returned the wrong condition set,"v2,v3,v4",12,3,3,6,attribute_mapping
pass5.query7,q7_wrong_sort,Returned condition CV rows in the wrong order,v4,1,0,0,1,sort
pass5.query8,q8_wrong_marker_expr,Miscomputed total_marker_expr or log2_total_marker_expr,"v2,v3,v4",77,18,17,42,numeric
pass5.query8,q8_wrong_pressure,Miscomputed photosynthesis_variant_pressure,"v2,v3,v4",77,18,17,42,generic
pass5.query8,q8_wrong_counts,Miscomputed non-reference or high/moderate call counts,"v2,v3,v4",66,18,12,36,numeric
pass5.query8,q8_wrong_sort,Returned sample pressure rows in the wrong order,"v2,v3,v4",31,9,12,10,sort
pass5.query8,q8_wrong_sample_set,Returned the wrong sample set for the preserving sample-level burden table,"v2,v3,v4",12,3,1,8,numeric
pass5.query8,q8_missing_zero_call_sample,Dropped one or more zero-call sample_dim rows,"v3,v4",3,0,1,2,under_inclusion
pass5.query8,q8_included_orphan_sample,Included orphan sample rows such as S999,v2,3,3,0,0,over_inclusion
pass5.query9,q9_wrong_log2_expr,Miscomputed mean_log2_matched_expr,"v2,v3,v4",73,15,17,41,numeric
pass5.query9,q9_wrong_signal,Miscomputed expression_weighted_signal,"v2,v3,v4",73,15,17,41,attribute_mapping
pass5.query9,q9_wrong_vaf,Miscomputed mean_vaf,"v2,v3,v4",70,12,17,41,numeric
pass5.query9,q9_leaked_ref_or_incomplete,"Leaked reference, incomplete-chain, or orphan groups into signal ranking","v2,v3,v4",70,18,15,37,grouping
pass5.query9,q9_wrong_group_set,Returned the wrong condition-gene signal group set,"v2,v3,v4",70,18,15,37,grouping
pass5.query9,q9_wrong_count,Miscomputed non_reference_calls,"v2,v3,v4",52,8,10,34,numeric
pass5.query9,q9_wrong_sort,Returned signal rows in the wrong order,v4,1,0,0,1,sort
pass5.query10,q10_wrong_imbalance,Miscomputed marker_imbalance,"v2,v3,v4",75,18,18,39,generic
pass5.query10,q10_wrong_shares,Miscomputed one or more marker composition shares,"v2,v3,v4",75,18,18,39,generic
pass5.query10,q10_wrong_sort,Returned marker-share rows in the wrong order,"v2,v3,v4",64,15,15,34,sort
pass5.query10,q10_wrong_sample_set,Returned the wrong sample set for marker composition shares,"v2,v3,v4",9,3,3,3,generic
pass5.query10,q10_wrong_condition,Mismapped sample condition labels,"v3,v4",4,0,1,3,classification
