model,case_id,exact_match,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-31b-64:latest,pass2.query8,False,same_count_wrong_values,0.8333333333333334,True,3,3,1,1
phi4-mini-128:latest,pass2.query1,False,row_count_mismatch,0.5833333333333334,False,8,6,3,5
phi4-mini-128:latest,pass2.query2,False,row_count_mismatch,0.6666666666666666,False,8,9,7,6
phi4-mini-128:latest,pass2.query3,False,row_count_mismatch,0.0,False,6,10,10,6
phi4-mini-128:latest,pass2.query4,False,row_count_mismatch,0.10294117647058823,False,17,6,6,17
phi4-mini-128:latest,pass2.query5,False,row_count_mismatch,0.2222222222222222,False,2,3,3,2
phi4-mini-128:latest,pass2.query6,False,same_count_wrong_values,0.3333333333333333,True,2,2,2,2
phi4-mini-128:latest,pass2.query7,False,same_count_wrong_values,0.65,True,5,5,4,4
phi4-mini-128:latest,pass2.query8,False,row_count_mismatch,0.0,False,2,3,3,2
qwen3-coder-30b-256:latest,pass2.query1,False,row_count_mismatch,0.7380952380952381,False,7,6,0,1
qwen3-coder-30b-256:latest,pass2.query2,False,same_count_wrong_values,0.7962962962962963,True,9,9,9,9
qwen3-coder-30b-256:latest,pass2.query3,False,row_count_mismatch,0.125,False,8,10,4,2
qwen3-coder-30b-256:latest,pass2.query4,False,same_count_wrong_values,0.5833333333333334,True,6,6,4,4
qwen3-coder-30b-256:latest,pass2.query5,False,row_count_mismatch,0.4166666666666667,False,4,3,3,4
qwen3-coder-30b-256:latest,pass2.query6,False,row_count_mismatch,0.1111111111111111,False,3,2,2,3
qwen3-coder-30b-256:latest,pass2.query7,False,same_count_wrong_values,0.8,True,5,5,3,3
qwen3-coder-30b-256:latest,pass2.query8,False,row_count_mismatch,0.1875,False,4,3,3,4
qwen3-coder-30b-64:latest,pass2.query1,False,row_count_mismatch,0.6458333333333334,False,8,6,0,2
qwen3-coder-30b-64:latest,pass2.query2,False,same_count_wrong_values,0.7962962962962963,True,9,9,9,9
qwen3-coder-30b-64:latest,pass2.query3,False,row_count_mismatch,0.125,False,8,10,4,2
qwen3-coder-30b-64:latest,pass2.query4,False,same_count_wrong_values,0.5833333333333334,True,6,6,4,4
qwen3-coder-30b-64:latest,pass2.query5,False,row_count_mismatch,0.4166666666666667,False,4,3,3,4
qwen3-coder-30b-64:latest,pass2.query6,False,row_count_mismatch,0.2222222222222222,False,3,2,2,3
qwen3-coder-30b-64:latest,pass2.query7,False,same_count_wrong_values,0.8,True,5,5,3,3
qwen3-coder-30b-64:latest,pass2.query8,False,row_count_mismatch,0.15,False,5,3,3,5
qwen36-256:latest,pass2.query1,False,row_count_mismatch,0.5740740740740741,False,9,6,0,3
qwen36-256:latest,pass2.query2,True,exact,1.0,True,9,9,0,0
qwen36-256:latest,pass2.query3,True,exact,1.0,True,10,10,0,0
qwen36-256:latest,pass2.query4,False,same_count_wrong_values,0.7083333333333334,True,6,6,2,2
qwen36-256:latest,pass2.query5,False,row_count_mismatch,0.0,False,5,3,2,4
qwen36-256:latest,pass2.query6,False,row_count_mismatch,0.13333333333333333,False,5,2,1,4
qwen36-256:latest,pass2.query7,False,same_count_wrong_values,0.7,True,5,5,2,2
qwen36-256:latest,pass2.query8,False,same_count_wrong_values,0.8333333333333334,True,3,3,2,2
qwen36-64:latest,pass2.query1,False,row_count_mismatch,0.5740740740740741,False,9,6,0,3
qwen36-64:latest,pass2.query2,False,same_count_wrong_values,0.9814814814814815,True,9,9,1,1
qwen36-64:latest,pass2.query3,True,exact,1.0,True,10,10,0,0
qwen36-64:latest,pass2.query4,False,row_count_mismatch,0.4583333333333333,False,5,6,4,3
qwen36-64:latest,pass2.query5,False,row_count_mismatch,0.08333333333333333,False,8,3,3,8
qwen36-64:latest,pass2.query6,False,row_count_mismatch,0.1111111111111111,False,3,2,1,2
qwen36-64:latest,pass2.query7,False,same_count_wrong_values,0.85,True,5,5,2,2
qwen36-64:latest,pass2.query8,False,row_count_mismatch,0.45,False,5,3,2,4
